,0,1,2,3,4,5,6
BALANCE,-0.037861730917197044,0.8006970435720732,-0.18663652009565387,-0.24036497859977066,-0.0017183708303004335,0.27100312094577644,0.11957044551833132
BALANCE_FREQUENCY,0.15473107830288393,0.36307997672481557,-0.2954457177030827,-0.44275470469793266,-0.052980496396124184,-0.25243897234030827,-0.4285765410333734
PURCHASES,0.8819214277673353,0.3097468884422864,0.15825756312376865,-0.03438389541896006,0.1308917247137317,-0.08364626063566573,0.1421331744664996
ONEOFF_PURCHASES,0.7324246323256002,0.31835552857621746,0.40656314854360703,-0.10628146829125483,0.04329722868747977,-0.10987564222039589,0.09170192184921039
INSTALLMENTS_PURCHASES,0.738908208915577,0.1435564341190212,-0.3096499692910907,0.09952086772174011,0.19234347946512317,-0.02525670895448233,0.12244427751520141
CASH_ADVANCE,-0.3185919085595376,0.7785515282076587,-0.07700958977080306,0.3767947752394289,-0.175744089090532,0.05156113338560461,-0.03793369348777264
PURCHASES_FREQUENCY,0.7857401906940668,-0.12782151390400537,-0.3748999305065792,0.020689750970749772,-0.3216073402288504,-0.07032086940295341,-0.1350277321007966
ONEOFF_PURCHASES_FREQUENCY,0.6525938963167445,0.20407650191230667,0.41123071955378476,-0.19922758970584833,-0.24948895368101,-0.15720372441216127,-0.1940730081291146
PURCHASES_INSTALLMENTS_FREQUENCY,0.6664674260680017,-0.1448394760831525,-0.6343244774100526,0.1327532994616665,-0.08883908480433185,-0.05645218329254864,-0.0651908998114666
CASH_ADVANCE_FREQUENCY,-0.4073212726280045,0.7135154960151423,-0.08664794978439332,0.16659742162618943,-0.14857749334302686,-0.24358266517378602,-0.14539080573982108
CASH_ADVANCE_TRX,-0.3346642939903735,0.7190488709868176,-0.10627313765562107,0.2197756000817896,-0.19492349753569468,-0.1614518576000382,-0.1817634453284368
PURCHASES_TRX,0.8459693905447232,0.22145123426835361,-0.08757592343758046,-0.05687669410182588,0.038313512722892476,-0.12818333583160194,-0.015821145108678082
CREDIT_LIMIT,0.3126614946283071,0.5040291131936773,0.13372595189105044,0.1695563865555145,-0.03139847820783153,0.47461044308763195,-0.05052858292704217
PAYMENTS,0.3939181166788348,0.6017444977936173,0.1461584034522377,0.32366241292103654,0.17564007525496622,0.16213602150051276,0.01306248313082351
MINIMUM_PAYMENTS,0.017429842999783354,0.5125192958800193,-0.3102559175062177,-0.33499118888903195,0.07655281772909368,0.3393253289625291,0.32935180455451996
PRC_FULL_PAYMENT,0.3696172786739215,-0.2779672015865223,0.05857139194271153,0.4724722349463393,-0.03422900013705443,-0.0241923363483442,-0.1896301795632082
TENURE,0.16305951341437244,0.01789774084965534,-0.023464105261149736,-0.22850046516945619,0.29597243321932465,0.5469282878612743,-0.6260721568927687
Monthly_avg_pur,0.873819078653856,0.3097188851776972,0.16050659911471213,-0.025084350297631272,0.10442798714895907,-0.11355314183131983,0.18070981919729243
Monthly_cash_adv_amt,-0.32324007341251215,0.751599582273399,-0.072171830652492,0.3916607939277322,-0.21104015134324422,-0.02422130618144207,0.04687090331774082
Limit_usage,-0.28059612082356145,0.4960482480829501,-0.26969355784572707,-0.5807403259324392,0.11473291606875782,-0.14611732015975443,0.08156169750445351
Pay_ratio,0.19988920184612152,0.011611836889030884,0.29306455249585456,0.4761451713369772,0.2911196955542836,0.04923792065728054,-0.07019133371563628
Dumm__none,-0.5817240721376413,0.2702005631758112,0.0744855192372166,0.06746478114263084,0.6136999312636134,-0.25264034703192634,-0.029620970351028255
Dumm__only_oneoff,-0.12089701203762601,-0.014896052345692102,0.627908095634438,-0.26954642536679235,-0.5127811550905158,0.22966996014955843,0.07289605676165928
Dumm__only_purchase,0.05209189202524374,-0.4167197608762486,-0.6265156535984969,0.26667226802912397,-0.14094367810286426,0.23518771931411606,0.15598294657600567
